punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2( 150 , 900 ) heeft buur punt2( 152 , 900 ),  gevonden in    49 doorzochte knopen met afstand 4
punt2( 150 , 950 ) heeft buur punt2( 149 , 948 ),  gevonden in    44 doorzochte knopen met afstand 5
punt2( 200 ,   0 ) heeft buur punt2( 201 ,   1 ),  gevonden in    27 doorzochte knopen met afstand 2
punt2( 200 ,  50 ) heeft buur punt2( 202 ,  49 ),  gevonden in    33 doorzochte knopen met afstand 5
punt2( 200 , 100 ) heeft buur punt2( 200 , 101 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 200 , 150 ) heeft buur punt2( 198 , 150 ),  gevonden in    36 doorzochte knopen met afstand 4
punt2( 200 , 200 ) heeft buur punt2( 200 , 198 ),  gevonden in    36 doorzochte knopen met afstand 4
punt2( 200 , 250 ) heeft buur punt2( 199 , 250 ),  gevonden in    29 doorzochte knopen met afstand 1
punt2( 200 , 300 ) heeft buur punt2( 199 , 298 ),  gevonden in    34 doorzochte knopen met afstand 5
punt2( 200 , 350 ) heeft buur punt2( 200 , 350 ),  gevonden in    24 doorzochte knopen met afstand 0
punt2( 200 , 400 ) heeft buur punt2( 199 , 399 ),  gevonden in    25 doorzochte knopen met afstand 2
punt2( 200 , 450 ) heeft buur punt2( 199 , 449 ),  gevonden in    37 doorzochte knopen met afstand 2
punt2( 200 , 500 ) heeft buur punt2( 201 , 501 ),  gevonden in    47 doorzochte knopen met afstand 2
punt2( 200 , 550 ) heeft buur punt2( 201 , 550 ),  gevonden in    33 doorzochte knopen met afstand 1
punt2( 200 , 600 ) heeft buur punt2( 201 , 604 ),  gevonden in    60 doorzochte knopen met afstand 17
punt2( 200 , 650 ) heeft buur punt2( 199 , 650 ),  gevonden in    16 doorzochte knopen met afstand 1
punt2( 200 , 700 ) heeft buur punt2( 201 , 699 ),  gevonden in    39 doorzochte knopen met afstand 2
punt2( 200 , 750 ) heeft buur punt2( 199 , 751 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 200 , 800 ) heeft buur punt2( 199 , 801 ),  gevonden in    43 doorzochte knopen met afstand 2
punt2( 200 , 850 ) heeft buur punt2( 199 , 852 ),  gevonden in    42 doorzochte knopen met afstand 5
punt2( 200 , 900 ) heeft buur punt2( 199 , 900 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 200 , 950 ) heeft buur punt2( 199 , 950 ),  gevonden in    17 doorzochte knopen met afstand 1
punt2( 250 ,   0 ) heeft buur punt2( 253 ,   2 ),  gevonden in    35 doorzochte knopen met afstand 13
punt2( 250 ,  50 ) heeft buur punt2( 248 ,  50 ),  gevonden in    42 doorzochte knopen met afstand 4
punt2( 250 , 100 ) heeft buur punt2( 250 , 100 ),  gevonden in    27 doorzochte knopen met afstand 0
punt2( 250 , 150 ) heeft buur punt2( 252 , 151 ),  gevonden in    40 doorzochte knopen met afstand 5
punt2( 250 , 200 ) heeft buur punt2( 249 , 199 ),  gevonden in    40 doorzochte knopen met afstand 2
punt2( 250 , 250 ) heeft buur punt2( 248 , 248 ),  gevonden in    46 doorzochte knopen met afstand 8
punt2( 250 , 300 ) heeft buur punt2( 251 , 300 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 250 , 350 ) heeft buur punt2( 251 , 350 ),  gevonden in    32 doorzochte knopen met afstand 1
punt2( 250 , 400 ) heeft buur punt2( 253 , 400 ),  gevonden in    37 doorzochte knopen met afstand 9
punt2( 250 , 450 ) heeft buur punt2( 252 , 450 ),  gevonden in    30 doorzochte knopen met afstand 4
punt2( 250 , 500 ) heeft buur punt2( 249 , 500 ),  gevonden in    48 doorzochte knopen met afstand 1
punt2( 250 , 550 ) heeft buur punt2( 253 , 551 ),  gevonden in    40 doorzochte knopen met afstand 10
punt2( 250 , 600 ) heeft buur punt2( 250 , 600 ),  gevonden in    16 doorzochte knopen met afstand 0
punt2( 250 , 650 ) heeft buur punt2( 250 , 652 ),  gevonden in    28 doorzochte knopen met afstand 4
punt2( 250 , 700 ) heeft buur punt2( 250 , 700 ),  gevonden in    24 doorzochte knopen met afstand 0
punt2( 250 , 750 ) heeft buur punt2( 252 , 752 ),  gevonden in    36 doorzochte knopen met afstand 8
punt2( 250 , 800 ) heeft buur punt2( 249 , 802 ),  gevonden in    24 doorzochte knopen met afstand 5
